ID,Count
18288,558.9147215845089
18289,446.0431887424853
18290,377.48992231555405
18291,311.9064366277783
18292,262.5325902921835
18293,235.0099734754596
18294,252.69953700869152
18295,293.06471735627883
18296,337.4823075419118
18297,436.1008793113992
18298,618.9956703843508
18299,686.2378630401502
18300,693.5083630437018
18301,613.3540802176605
18302,655.8249245007032
18303,647.5413220376402
18304,631.0138466197303
18305,645.713764659698
18306,661.6055679461498
18307,702.0303425560614
18308,674.6269142639854
18309,629.6928404715431
18310,631.9772871939707
18311,617.0389921047067
18312,420.9865743101011
18313,335.9693111870562
18314,284.33351832580524
18315,234.93462811096302
18316,197.74518645444627
18317,177.01456025645615
18318,190.33871949810924
18319,220.7426404178605
18320,254.1989234771934
18321,328.48055015342663
18322,466.2408355412961
18323,516.8890994750358
18324,522.365396254873
18325,461.99146864109474
18326,493.98142086866807
18327,487.74203355393547
18328,475.29318404348624
18329,486.36547807922227
18330,498.3355256854236
18331,528.7843342836983
18332,508.14348344275436
18333,474.29817383622014
18334,476.01886817961156
18335,464.76702342978285
18336,389.5944867043156
18337,310.9167829278755
18338,263.13136305239243
18339,217.41604467542703
18340,182.99974183552172
18341,163.81495503822168
18342,176.14555961634932
18343,204.28232379687125
18344,235.24384186165852
18345,303.98644312849024
18346,431.4742324050977
18347,478.3457613180247
18348,483.41370211038253
18349,427.54173189955236
18350,457.14626035327126
18351,451.372131089847
18352,439.851566228531
18353,450.09822247537454
18354,461.17568868817847
18355,489.3539933669985
18356,470.2522875662943
18357,438.9307518495911
18358,440.52313761768175
18359,430.1103193776465
18360,560.373420917424
18361,447.2073071253854
18362,378.47512502465935
18363,312.7204744290211
18364,263.2177683695153
18365,235.6233208758738
18366,253.35905201487628
18367,293.8295805656369
18368,338.363095250431
18369,437.2390494779173
18370,620.6111736742038
18371,688.0288602609783
18372,695.3183353838024
18373,614.9548596444715
18374,657.5365476570341
18375,649.2313260007018
18376,632.6607158854298
18377,647.3989989206475
18378,663.33227787764
18379,703.8625562244894
18380,676.3876083230249
18381,631.336262072129
18382,633.6266709221967
18383,618.6493887026245
18384,630.4652097191433
18385,503.1442216034137
18386,425.81498366124845
18387,351.8357083595797
18388,296.1411789752703
18389,265.0952041364204
18390,285.0493294298134
18391,330.58193200833534
18392,380.6857210661976
18393,491.9291292852298
18394,698.2375308307282
18395,774.0878555001664
18396,782.2891018307466
18397,691.8737222026277
18398,739.7815491282583
18399,730.4375061778429
18400,711.7942358307316
18401,728.375990706768
18402,746.3022121943751
18403,791.9020381034758
18404,760.9905099257824
18405,710.3041186695734
18406,712.881013008417
18407,696.0303648100671
18408,628.7631670023338
18409,501.78590246909323
18410,424.6654273011571
18411,350.8858710082155
18412,295.3416980062145
18413,264.37953679347135
18414,284.2797927010484
18415,329.6894726608414
18416,379.65799844337005
18417,490.60108710498116
18418,696.3525257810716
18419,771.9980802416525
18420,780.1771859824421
18421,690.0058972827541
18422,737.7843892876944
18423,728.4655720912209
18424,709.8726322651639
18425,726.409622014301
18426,744.2874487701251
18427,789.7641705802525
18428,758.9360930681777
18429,708.3865379160852
18430,710.9564755122349
18431,694.151318361761
18432,542.7524530693653
18433,433.1448529008933
18434,366.57395740962306
18435,302.8869648090932
18436,254.94087360551387
18437,228.2141347752746
18438,245.3921650375108
18439,284.5900959671719
18440,327.7232522460711
18441,423.49004757102375
18442,601.0960269358816
18443,666.3937612847517
18444,673.4540185289723
18445,595.6175759594919
18446,636.8602808451301
18447,628.8162172636
18448,612.7666707412192
18449,627.0415077923751
18450,642.4737640638953
18451,681.7295659545748
18452,655.1185690463715
18453,611.4838644386482
18454,613.7022512776794
18455,599.195930382451
18456,542.8305953082435
18457,433.2072144957102
18458,366.626734526676
18459,302.93057265540193
18460,254.97757846153507
18461,228.24699167593735
18462,245.4274951278139
18463,284.6310695401805
18464,327.7704358718992
18465,423.55101912494797
18466,601.1825691321625
18467,666.489704656701
18468,673.5509783943614
18469,595.7033294013004
18470,636.9519721639189
18471,628.9067504464202
18472,612.8548932067112
18473,627.131785463183
18474,642.566263578288
18475,681.8277172835864
18476,655.2128890838515
18477,611.5719022133921
18478,613.7906084424386
18479,599.2821990142406
18480,409.8988281056715
18481,327.1207096348006
18482,276.844875977114
18483,228.74703047701183
18484,192.53706682700306
18485,172.35243410236515
18486,185.32566791058616
18487,214.9288246745441
18488,247.50395190102574
18489,319.829184063757
18490,453.96120390911216
18491,503.2755177112768
18492,508.60758236462755
18493,449.82375483383464
18494,480.9711707596923
18495,474.89611349071066
18496,462.77513591806655
18497,473.55581308604326
18498,485.21059921358574
18499,514.857461425522
18500,494.7602395968404
18501,461.80633182121403
18502,463.4817073270483
18503,452.52620836715874
18504,393.1128507536315
18505,313.724621510593
18506,265.507659328663
18507,219.37949339309597
18508,184.65238255473406
18509,165.29434108760438
18510,177.73630133767952
18511,206.1271640307196
18512,237.36829049806124
18513,306.7316949466824
18514,435.37080558389744
18515,482.66562360355357
18516,487.7793321398001
18517,431.40279130987017
18518,461.2746734150476
18519,455.4483989352257
18520,443.82379373807555
18521,454.1629858605408
18522,465.34049085780066
18523,493.7732691945806
18524,474.49905901493
18525,442.8946636351777
18526,444.50142997853385
18527,433.99457528111003
18528,571.9012688123013
18529,456.4071328515574
18530,386.26101120415717
18531,319.15367402105323
18532,268.6326119072853
18533,240.47049902914165
18534,258.5710847512544
18535,299.8741618846987
18536,345.3238077854775
18537,446.2338109493485
18538,633.3782160515254
18539,702.1828007447883
18540,709.6222329450054
18541,627.605541885237
18542,671.0632086722967
18543,662.5871342802461
18544,645.6756381311193
18545,660.7171130714484
18546,676.9781670609934
18547,718.3422231468987
18548,690.3020681736763
18549,644.3239380182376
18550,646.6614645292348
